,ACS,23.27,-1.43,1412859.0,18/09/2021
101,eDreams Odigeo SA,6.17,4.3,207749.0,18/09/2021
102,Lar Espana Real Estate SOCIMI SA,5.21,0.76,129391.0,18/09/2021
103,Applus Services SA,8.14,0.25,514464.0,18/09/2021
104,Merlin Properties SA,9.17,-1.68,6259392.0,18/09/2021
105,Facephi Biometria SA,4.5,-2.4,34704.0,18/09/2021
106,Logista,18.38,0.11,186458.0,18/09/2021
107,Aena,130.85,3.43,697990.0,18/09/2021
108,NBI Bearings Europe,6.2,0.0,2100.0,18/09/2021
109,Naturhouse Health SA,1.64,-0.3,10000.0,18/09/2021
110,Cellnex Telecom,57.54,1.5,1989530.0,18/09/2021
111,Talgo,4.44,2.47,183114.0,18/09/2021
112,Grenergy Renovables SA,31.95,1.56,87340.0,18/09/2021
113,Lleidanetworks Serveis Telematics,5.16,-0.6,5677.0,18/09/2021
114,Pharma Mar,78.9,-0.41,83788.0,18/09/2021
115,Gigas Hosting SA,10.9,2.31,9372.0,18/09/2021
116,Agile Content SA,7.24,1.36,1929.0,18/09/2021
117,Zambal Spain Socimi SA,1.2,0.84,1200.0,18/09/2021
118,Oryzon Genomics,3.345,0.6,86892.0,18/09/2021
119,Clerhp Estructuras,1.43,-1.4,1200.0,18/09/2021
120,Global Dominion,4.28,3.17,153438.0,18/09/2021
121,Coca-Cola European,49.82,0.0,50.0,18/09/2021
122,Vitruvio Real Estate,11.5,1.77,1280.0,18/09/2021
123,Atrys Health,10.95,1.89,17393.0,18/09/2021
124,Clever Global,0.286,9.49,18313.0,18/09/2021
125,Mondo TV,0.145,-3.33,14462.0,18/09/2021
126,Pangaea Oncology,1.69,-2.92,1650.0,18/09/2021
127,Prosegur Cash,0.761,-1.03,788313.0,18/09/2021
128,Neinor Homes,12.24,-1.97,132272.0,18/09/2021
129,Gestamp Automocion,3.47,-2.48,958567.0,18/09/2021
130,Asturiana de Laminados,1.9,-1.31,29542.0,18/09/2021
131,Unicaja Banco,0.817,3.99,5722185.0,18/09/2021
132,Borges Agricultural,2.68,0.0,500.0,18/09/2021
133,Aedas Homes,27.7,0.72,96105.0,18/09/2021
134,Netex Knowledge,4.04,0.0,10.0,18/09/2021
135,Greenalia,13.95,2.56,1586.0,18/09/2021
136,Tier1,23.4,0.0,3076.0,18/09/2021
137,Castellana Properties,6.25,0.81,200.0,18/09/2021
138,Berkeley Energy,0.2036,0.1,733311.0,18/09/2021
139,Alquiber Quality,5.0,0.0,6000.0,18/09/2021
140,Arima Real Estate,9.22,-2.95,576.0,18/09/2021
141,Amrest,6.7,0.0,2095.0,18/09/2021
142,Atom Hoteles,9.7,0.52,200.0,18/09/2021
143,Solarpack,26.2,-0.76,335530.0,18/09/2021
144,Almagro Capital,1.25,0.0,36200.0,18/09/2021
145,Proeduca Altus,17.0,-1.17,2100.0,18/09/2021
146,Iffe Futura,0.695,-0.68,6600.0,18/09/2021
